splashed out	gastar mucho dinero	
splashing out	gastar mucho dinero	
spro	espero	
squabble	reñir	
start	iniciar	
started	comenzó	
stay	permanecer	
staying	permanecer	
stoi	estoy	
stop	alto	
stories	historias	
story	historia	
street	calle	
strong	fuerte	
strop	miserable	
stroppy	miserable	
stuff	cosas	
such	tal	
sun	sol	
sunday	domingo	
sundays	domingos	
super	súper	
superfluous	superfluo	
sure	seguro	
surprise	sorpresa	
surprised	sorprendido	
sweet	dulce	
swell	elegante	
t	te	
tachero	taxista	
tacheros	taxistas	
take	tomar	
taking	tomar	
talk	hablar	
talking	hablar	
tambien	también	
tas OK?	¿estás bien?
taught	enseñar	
tb	también	
tele	televisión	
teles	televisión	
tell	decir	
temp	temperatura	
test	examen	
tests	exámenes	
than	que	
thank	agradecer	
thankful	agradecido	
thanks	gracias	
the	el	
these	éstos	
thing	cosa	
things	cosas	
think	pensar	
thinking	pensar	
this	este	
those	aquellos	
though	aunque	
thought	pensamiento	
thrall	esclavitud	
thrilled	emocionado	
tia	mujer	
tias	mujeres	
time	tiempo	
tio	hombre	
tios	hombres	
tired	cansado	
tmb	también	
tmbn	también	
today	hoy	
tomorrow	mañana	
tonight	esta noche	
too	también	
took	tomar	
top	superior	
tp	tampoco	
tq	te quiero	
tqi	tengo que irme	
tranqui	tranquilo	
tranquis	tranquilo	
true	VERDADERO	
try	intentar	
trying	intentar	
tuit	mensaje de texto corto	
tv	televisión	
tvs	televisión	
tweet	mensaje de texto corto	
ugly	feo	
uni	universidad	
unica	única	
unicas	únicas	
unico	único	
unique	único	
unreal	irreal	
unstable	inestable	
unsure	inseguro	
until	hasta	
update	actualizar	
upset	perturbado	
us	nosotros	
use	usar	
used	usar	
using	usar	
verguenza	vergüenza	
verguenzas	vergüenzas	
very	muy	
veteme	prohibir	
video	película	
videos	películas	
vierns	viernes	
vns?	¿Vienes?	
vos	vosotros	
vos decis	dices	
wait	esperar	
waiting	esperar	
walk	caminar	
wangle	afortunado	
want	querer	
wants	querer	
watch	ver	
watching	viendo	
watsap	software de mensajería	
weak	débil	
weather	clima	
week	semana	
weekend	fin de semana	
weeks	semanas	
welcome	bienvenido	
well	bien	
went	fue	
what a	sorprender	
whatsapp	software de mensajería	
where	donde	
which	cual	
while	mientras	
whole	completo	
whore	protituta	
win	ganar	
winner	ganador	
winners	ganadores	
winsome	atractivo	
wish	desear	
without	sin	
woman	mujer	
women	mujeres	
won	ganar	
wonder	preguntar	
wonderful	maravilloso	
wondering	preguntar	
wonky	inestable	
word	palabra	
words	palabras	
work	trabajar	
working	trabajar	
world	mundo	
worried	preocupado	
worst	peor	
worthy	digno	
wpa	guapa	
writing	escribir	
wrong	equivocado	
wtf	asco	
x	por
xdon	perdón
xd	risa a carcajadas
xfa	por favor	
xk	porque	
xo	pero	
xoxo	besos y abrazos	
xq	porque
year	año	
years	años	
yes	si	
yesterday	ayer	
yet	aún	
ymam	llámame	
ymm	llámame	
young	joven	
zatanas	diablo	
zonked	exhausto	
zoom	enfocar	
zzz	dormir
hdspm	estoy enojado
verga	,
puto	,
puta	,
pedo	problema
pedon	problemon
cagan	molestan
estooy	estoy
feeliz	feliz
feliiz	feliz
horriblee	horrible
sii	si
pliss	por favor
rt	,
largoo	largo
bdías	bdias
bdias	buenos dias
tt	,
pic	,
xa	,
lt	,
diiaa	dia
diiaas	dias
diaa	dia
diass	dias
diaas	dias
mioo	mio
buenoos	buenos
buuenoos	buenos
diias	dias
woow	sorpresa
wow	sorpresa
mii	mi
grandee	grande
aasi	asi
madree	madre
locoo	loco
